Date,Host,Service,Content
"2026-06-19T01:16:03.102Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:16:02] Msgs=812866516 Throughput=318.641727 Response_Time=17.588395 Wait_Time_In_Queue=0.005620 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=31 Current_Connections=2308 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:16:02.911Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:16:01] Msgs=791686181 Throughput=310.261127 Response_Time=17.495444 Wait_Time_In_Queue=0.005969 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=26 Current_Connections=2208 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:16:02.563Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:16:01] Msgs=809472151 Throughput=317.166053 Response_Time=17.661410 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=27 Current_Connections=2231 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:16:02.317Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:16:01] Msgs=777684207 Throughput=304.811872 Response_Time=17.164320 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=17 Current_Connections=2221 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:15:03.065Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:15:02] Msgs=812801103 Throughput=318.623579 Response_Time=17.588377 Wait_Time_In_Queue=0.005620 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=41 Current_Connections=2276 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:15:02.876Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:15:01] Msgs=791619851 Throughput=310.242427 Response_Time=17.495404 Wait_Time_In_Queue=0.005968 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=44 Current_Connections=2124 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:15:02.519Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:15:01] Msgs=809402156 Throughput=317.146083 Response_Time=17.661342 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=33 Current_Connections=2184 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:15:02.277Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:15:01] Msgs=777621925 Throughput=304.794628 Response_Time=17.164353 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=17 Current_Connections=2173 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:14:02.840Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:14:01] Msgs=791552718 Throughput=310.223412 Response_Time=17.495293 Wait_Time_In_Queue=0.005968 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=22 Current_Connections=2070 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:14:02.481Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:14:01] Msgs=809332281 Throughput=317.126160 Response_Time=17.661239 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=27 Current_Connections=2539 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:14:02.240Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:14:02] Msgs=777561904 Throughput=304.778151 Response_Time=17.164346 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=16 Current_Connections=2115 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:14:02.029Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:14:01] Msgs=812732803 Throughput=318.604424 Response_Time=17.588330 Wait_Time_In_Queue=0.005620 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=21 Current_Connections=2193 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:13:02.444Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:13:02] Msgs=809265907 Throughput=317.107483 Response_Time=17.661127 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=36 Current_Connections=2469 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:13:02.205Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:13:01] Msgs=777497630 Throughput=304.760244 Response_Time=17.164309 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=26 Current_Connections=2444 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:13:01.988Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:13:01] Msgs=812665043 Throughput=318.585354 Response_Time=17.588311 Wait_Time_In_Queue=0.005620 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=15 Current_Connections=2419 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:13:01.804Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:13:01] Msgs=791484190 Throughput=310.203849 Response_Time=17.495222 Wait_Time_In_Queue=0.005968 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=31 Current_Connections=2306 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:12:03.406Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:12:02] Msgs=809196926 Throughput=317.087908 Response_Time=17.661021 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=24 Current_Connections=2385 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:12:02.173Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:12:01] Msgs=777434611 Throughput=304.742709 Response_Time=17.164282 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=23 Current_Connections=2380 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:12:01.949Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:12:01] Msgs=812597728 Throughput=318.566458 Response_Time=17.588284 Wait_Time_In_Queue=0.005620 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=38 Current_Connections=2379 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:12:01.768Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:12:01] Msgs=791418089 Throughput=310.185236 Response_Time=17.495107 Wait_Time_In_Queue=0.005968 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=26 Current_Connections=2250 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:11:03.134Z","i-06d8bd0429c15d38c","smps_stats","[Fri Jun 19 2026 10:11:02] Msgs=777370916 Throughput=304.724789 Response_Time=17.164274 Wait_Time_In_Queue=0.004781 Max_HP_Msg=30 Max_NP_Msg=51 Current_Depth=0 Max_Depth=51 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=52 Max_Threads=52 Busy_Threads=22 Current_Connections=2270 Max_Connections=2778 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:11:02.910Z","i-0a2328f9d6500e6c4","smps_stats","[Fri Jun 19 2026 10:11:02] Msgs=812531030 Throughput=318.547678 Response_Time=17.588240 Wait_Time_In_Queue=0.005620 Max_HP_Msg=32 Max_NP_Msg=59 Current_Depth=0 Max_Depth=59 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=60 Max_Threads=60 Busy_Threads=29 Current_Connections=2335 Max_Connections=2877 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:11:02.730Z","i-00dd30849ccfba93a","smps_stats","[Fri Jun 19 2026 10:11:02] Msgs=791353241 Throughput=310.166993 Response_Time=17.494982 Wait_Time_In_Queue=0.005968 Max_HP_Msg=34 Max_NP_Msg=55 Current_Depth=0 Max_Depth=55 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=56 Max_Threads=56 Busy_Threads=26 Current_Connections=2206 Max_Connections=2817 Exceeded_Limit=0 Core_Result=N"
"2026-06-19T01:11:02.367Z","i-023c16c7968372b38","smps_stats","[Fri Jun 19 2026 10:11:01] Msgs=809124342 Throughput=317.067044 Response_Time=17.660896 Wait_Time_In_Queue=0.006463 Max_HP_Msg=35 Max_NP_Msg=80 Current_Depth=0 Max_Depth=80 Current_High_Depth=0 Current_Norm_Depth=0 Current_Threads=55 Max_Threads=55 Busy_Threads=33 Current_Connections=2303 Max_Connections=3452 Exceeded_Limit=0 Core_Result=N"
